gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group C,high school,standard,none,61,74,72
male,group C,some college,standard,none,75,75,71
male,group C,some college,standard,none,77,76,71
male,group C,some college,standard,none,75,75,71
female,group C,high school,standard,none,65,66,62
male,group C,high school,standard,none,60,59,57
male,group D,some college,free/reduced,none,62,62,60
female,group C,some high school,free/reduced,none,68,74,72
male,group D,bachelor's degree,free/reduced,none,60,59,53
female,group B,high school,free/reduced,none,38,60,50
male,group C,associate's degree,standard,none,66,69,65
female,group D,bachelor's degree,standard,none,69,79,74
female,group B,associate's degree,standard,none,61,71,73
male,group B,some high school,standard,completed,68,65,63
female,group D,some college,standard,none,77,75,74
female,group D,bachelor's degree,standard,none,69,79,74
female,group E,master's degree,standard,none,56,72,69
female,group C,associate's degree,free/reduced,none,85,83,83
female,group E,high school,standard,none,71,77,75
male,group A,master's degree,free/reduced,none,73,74,72
female,group D,associate's degree,standard,none,74,74,77
female,group E,high school,standard,none,53,58,59
male,group B,associate's degree,standard,none,73,72,69
female,group C,bachelor's degree,standard,completed,62,75,70
male,group C,high school,free/reduced,completed,68,69,66
female,group B,some high school,standard,none,56,65,61
female,group D,bachelor's degree,standard,none,65,72,74
female,group C,high school,standard,none,65,66,62
male,group B,some college,standard,none,62,68,60
male,group D,some college,standard,none,74,75,71
male,group C,associate's degree,free/reduced,none,53,58,49
female,group D,associate's degree,free/reduced,completed,55,77,76
male,group B,bachelor's degree,standard,completed,72,71,71
female,group B,some college,free/reduced,completed,65,75,70
male,group A,associate's degree,free/reduced,completed,74,58,61
female,group C,some college,standard,none,72,75,78
male,group D,associate's degree,standard,none,68,72,69
male,group E,bachelor's degree,standard,none,61,62,60
female,group E,high school,standard,none,71,77,75
male,group E,some high school,free/reduced,none,50,55,53
male,group C,some high school,standard,none,51,46,47
male,group C,bachelor's degree,standard,none,70,72,71
male,group B,some college,standard,none,62,68,60
male,group C,some college,standard,none,76,78,75
male,group A,associate's degree,standard,none,79,82,82
female,group B,associate's degree,standard,none,71,83,78
female,group C,associate's degree,standard,none,73,76,78
female,group D,high school,standard,completed,82,82,82
male,group D,associate's degree,standard,none,40,52,43
female,group D,associate's degree,free/reduced,completed,55,77,76
male,group B,bachelor's degree,free/reduced,none,65,66,62
male,group D,associate's degree,standard,none,55,58,54
female,group C,some college,standard,completed,79,84,87
male,group B,associate's degree,free/reduced,none,68,69,66
male,group C,high school,standard,none,88,89,86
male,group D,high school,free/reduced,completed,64,64,67
